IATA,ICAO,Model
D91,DC91,Douglas DC-9-10
D92,DC92,Douglas DC-9-20
D93,DC93,Douglas DC-9-30
D94,DC94,Douglas DC-9-40
D95,DC95,Douglas DC-9-50
DF3,FA50,Dassault Falcon 50
DF7,FA7X,Dassault Falcon 7X
DF9,F900,Dassault Falcon 900
DH1,DH8A,De Havilland Canada DHC-8-100 Dash 8 / 8Q
DH2,DH8B,De Havilland Canada DHC-8-200 Dash 8 / 8Q
DH3,DH8C,De Havilland Canada DHC-8-300 Dash 8 / 8Q
DH4,DH8D,De Havilland Canada DHC-8-400 Dash 8Q
DH7,DHC7,De Havilland Canada DHC-7 Dash 7
DHC,DHC4,De Havilland Canada DHC-4 Caribou
DHC,DHC5,De Havilland Canada DHC-5 Buffalo
DHD,DOVE,De Havilland DH.104 Dove
DHH,HERN,De Havilland DH.114 Heron
DHL,DHC3,De Havilland Canada DHC-3 Otter
DHP,DHC2,De Havilland Canada DHC-2 Beaver
DHR,DH2T,De Havilland Canada DHC-2 Turbo-Beaver
DHT,DHC6,De Havilland Canada DHC-6 Twin Otter
E70,E170,Embraer 170
E75,E75S/L,Embraer 175
E7W,E75L,Embraer 175 (long wing)
E7W,E75S,Embraer 175 (short wing)
E90,E190,Embraer 190
E90,E190,Embraer Lineage 1000
E95,E195,Embraer 195
EM2,E120,Embraer EMB 120 Brasilia
EMB,E110,Embraer EMB 110 Bandeirante
EP1,E50P,Embraer Phenom 100
EP3,E55P,Embraer Phenom 300
ER3,E135,Embraer RJ135
ER3,E35L,Embraer Legacy 600 / Legacy 650
ER4,E145,Embraer RJ145
ERD,E135,Embraer RJ140
F21,F28,Fokker F28 Fellowship
F27,F27,Fokker F27 Friendship
F50,F50,Fokker 50
F70,F70,Fokker 70
FRJ,J328,Fairchild Dornier 328JET
GJ4,GLF4,Gulfstream IV
GJ5,GLF5,Gulfstream V
GJ6,GLF6,Gulfstream G650
GR3,G280,Gulfstream G280
GRG,G21,Grumman G-21 Goose
GRM,G73T,Grumman G-73 Turbo Mallard
GRS,G159,Gulfstream Aerospace G-159 Gulfstream I
H25,H25B,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900
H25,H25C,British Aerospace 125-1000 series / Hawker/Raytheon 1000
HS7,A748,Hawker Siddeley HS 748
I14,I114,Ilyushin IL114
I93,IL96,Ilyushin IL96
IL6,IL62,Ilyushin IL62
IL7,IL76,Ilyushin IL76
IL8,IL18,Ilyushin IL18
ILW,IL86,Ilyushin IL86
J31,JS31,British Aerospace Jetstream 31
J32,JS32,British Aerospace Jetstream 32
J41,JS41,British Aerospace Jetstream 41
JU5,JU52,Junkers Ju 52/3M
L10,L101,Lockheed L-1011 Tristar
L49,CONI,Lockheed L-1049 Super Constellation
L4T,L410,LET 410
LOE,L188,Lockheed L-188 Electra
LOH,C130,Lockheed L-182 / 282 / 382 (L-100) Hercules
LRJ,LJ35,Learjet 35 / 36 / C-21A
LRJ,LJ60,Learjet 60
M11,MD11,McDonnell Douglas MD-11
M1F,MD11,McDonnell Douglas MD-11F
M1M,MD11,McDonnell Douglas MD-11C
M81,MD81,McDonnell Douglas MD-81
M82,MD82,McDonnell Douglas MD-82
M83,MD83,McDonnell Douglas MD-83
M87,MD87,McDonnell Douglas MD-87
M88,MD88,McDonnell Douglas MD-88
M90,MD90,McDonnell Douglas MD-90
MBH,B105,Eurocopter (MBB) Bo.105
MD9,EXPL,MD Helicopters MD900 Explorer
MIH,MI8,MIL Mi-8 / Mi-17 / Mi-171 / Mil-172
MU2,MU2,Mitsubishi Mu-2
ND2,N262,Aerospatiale (Nord) 262
NDC,S601,Aerospatiale SN.601 Corvette
NDE,AS50,Eurocopter AS350 Écureuil / AS355 Ecureuil 2 / AS550 Fennec
NDH,S65C,Eurocopter (Aerospatiale) SA365C / SA365N Dauphin 2
PA2,PA31,Piper PA-31 Navajo
PAG,PA46,Piper PA-46
PL2,PC12,Pilatus PC-12
PL6,PC6T,Pilatus PC-6 Turbo Porter
PN6,P68,Partenavia P.68
S20,SB20,Saab 2000
S58,S58T,Sikorsky S-58T
S61,S61,Sikorsky S-61
S76,S76,Sikorsky S-76
S92,S92,Sikorsky S-92
SF3,SF34,Saab SF340A/B
SH3,SH33,Shorts SD.330
SH6,SH36,Shorts SD.360
SHB,BELF,Shorts SC-5 Belfast
SHS,SC7,Shorts SC-7 Skyvan
SSC,CONC,Concorde
SU9,SU95,Sukhoi Superjet 100-95
T12,P212,Tecnam P2012 Traveller
T20,T204,Tupolev Tu-204 / Tu-214
TU3,T134,Tupolev Tu-134
TU5,T154,Tupolev Tu-154
WWP,WW24,Israel Aircraft Industries 1124 Westwind
YK2,YK42,Yakovlev Yak-42
YK4,YK40,Yakovlev Yak-40
YN2,Y12,Harbin Yunshuji Y12
YS1,YS11,NAMC YS-11
